AQI,PM10,PM2_5,NO2,SO2,O3,Temperature,Humidity,WindSpeed,RespiratoryCases,CardiovascularCases,HospitalAdmissions,HealthImpactScore,HealthImpactClass,AQI_Category,HealthImpactLevel,TemperatureLevel
0.37463238971691504,0.9864945978391357,0.06506626656664166,0.0331549732459869,0.6617647058823529,0.1821030872841235,0.3031031031031031,0.8268888888888889,0.307,0.2727272727272727,0.3571428571428571,0.08333333333333333,0.9644100580270794,0.0,Unhealthy for Sensitive Groups,High,Cold
0.9509852955886765,0.8210951047085502,0.04976244061015254,0.08156223433515027,0.9052621048419368,0.5655131026205241,0.23083083083083084,0.40944444444444444,0.22599999999999998,0.4090909090909091,0.14285714285714285,0.0,1.0000000000000002,0.0,Very Unhealthy,High,Cold
0.7321996598979693,0.2815126050420168,0.11542885721430357,0.48162224333650044,0.17877150860344138,0.030039341201573647,0.22342342342342342,0.08677777777777777,0.558,0.5454545454545455,0.21428571428571427,0.0,1.0000000000000002,0.0,Very Unhealthy,High,Cold
0.598819645893768,0.0700280112044818,0.07121780445111278,0.4061609241386208,0.4832933173269308,0.3105954524238181,0.639039039039039,0.9941111111111112,0.7650000000000001,0.3181818181818182,0.5714285714285714,0.08333333333333333,1.0000000000000002,0.0,Very Unhealthy,High,Warm
0.15604681404421325,0.05658930238762171,0.7605901475368843,0.6062409361404211,0.9089635854341738,0.8061612322464493,0.3845845845845846,0.16566666666666668,0.7265,0.36363636363636365,0.0,0.08333333333333333,0.9378465506125082,0.0,Good,High,Cold
0.1560268080424127,0.12034813925570229,0.48552138034508624,0.4388658298744812,0.32262905162064826,0.45675801827032075,0.1711711711711712,0.2515555555555556,0.23399999999999999,0.5454545454545455,0.3571428571428571,0.16666666666666666,0.6177949709864603,1.0,Good,Medium,Extremely Cold
0.05807742322696808,0.5809323729491797,0.34283570892723175,0.9341901285192779,0.9679871948779512,0.14996332599853304,0.8882882882882883,0.16311111111111115,0.3305,0.4090909090909091,0.14285714285714285,0.16666666666666666,0.5592520954223081,1.0,Good,Medium,Hot
0.8664199259777932,0.9290716286514606,0.418304576144036,0.534780217032555,0.09703881552621049,0.4386543975461759,0.8748748748748749,0.33744444444444444,0.869,0.45454545454545453,0.5714285714285714,0.08333333333333333,1.0000000000000002,0.0,Very Unhealthy,High,Hot
0.6012803841152345,0.4968654128317994,0.9290322580645161,0.6938040706105916,0.9029611844737895,0.1980729479229179,0.8630630630630629,0.28933333333333333,0.7230000000000001,0.3181818181818182,0.42857142857142855,0.3333333333333333,1.0000000000000002,0.0,Very Unhealthy,High,Hot
0.7082724817445233,0.8432039482459651,0.9108277069267317,0.8965844876731511,0.44527811124449784,0.39327865573114623,0.390990990990991,0.601111111111111,0.7125,0.5454545454545455,0.3571428571428571,0.08333333333333333,1.0000000000000002,0.0,Very Unhealthy,High,Cold
0.02056616985095528,0.44601173802854477,0.7157289322330581,0.14682202330349556,0.07362945178071229,0.48793091951723677,0.056856856856856874,0.9964444444444445,0.269,0.36363636363636365,0.5,0.3333333333333333,0.5244358478401032,1.0,Good,Medium,Extremely Cold
0.9701710513153945,0.7088168600773643,0.8847711927981995,0.22973446016902538,0.8797519007603042,0.3496365939854638,0.10670670670670672,0.052555555555555564,0.792,0.3181818181818182,0.2857142857142857,0.08333333333333333,1.0000000000000002,0.0,Very Unhealthy,High,Extremely Cold
0.8326698009402821,0.732092837134854,0.3195798949737434,0.10726608991348703,0.2519007603041217,0.9371540974861639,0.2760760760760761,0.7784444444444445,0.35850000000000004,0.45454545454545453,0.14285714285714285,0.16666666666666666,1.0000000000000002,0.0,Very Unhealthy,High,Cold
0.21238371511453433,0.17396958783513403,0.3810452613153288,0.13962094314147122,0.022208883553421366,0.5626458625058345,0.22002002002002002,0.128,0.40149999999999997,0.3181818181818182,0.2857142857142857,0.0,0.6343004513217279,1.0,Moderate,Medium,Cold
0.18185455636691003,0.36127784447112177,0.6137034258564641,0.5126268940341051,0.13575430172068828,0.8430686137227446,0.8746746746746747,0.019888888888888887,0.28750000000000003,0.4090909090909091,0.21428571428571427,0.16666666666666666,0.960025789813024,0.0,Good,High,Hot
0.18343503050915272,0.6374883286647993,0.6236559139784946,0.321198179726959,0.6592637054821929,0.7608855104354204,0.9871871871871871,0.6385555555555555,0.12150000000000001,0.5454545454545455,0.21428571428571427,0.16666666666666666,1.0000000000000002,0.0,Good,High,Hot
0.3043112933880164,0.07066159797252235,0.4816704176044011,0.4231634745211782,0.978091236494598,0.6612989264519571,0.8172172172172172,0.8733333333333333,0.42050000000000004,0.5454545454545455,0.7857142857142857,0.08333333333333333,0.9774339136041266,0.0,Unhealthy for Sensitive Groups,High,Hot
0.5248974692407722,0.3616113111911431,0.4006001500375093,0.9825973896084413,0.11144457783113246,0.496999399879976,0.7303303303303303,0.17633333333333334,0.017,0.3181818181818182,0.14285714285714285,0.0,1.0000000000000002,0.0,Very Unhealthy,High,Warm
0.4320496148844653,0.5349473122582367,0.9862965741435359,0.1566735010251538,0.461984793917567,0.0021671000866840037,0.588988988988989,0.3416666666666667,0.45599999999999996,0.2727272727272727,0.21428571428571427,0.08333333333333333,1.0000000000000002,0.0,Unhealthy,High,Moderate
0.29128738621586475,0.9965652927837803,0.8211552888222055,0.5408311246687003,0.1805722288915566,0.6135893845435754,0.7705705705705705,0.1687777777777778,0.7250000000000001,0.49999999999999994,0.3571428571428571,0.25,1.0000000000000002,0.0,Moderate,High,Warm
0.6120236070821246,0.47465652927837804,0.4349587396849212,0.0988148222233335,0.7451980792316927,0.356037874241515,0.9477477477477478,0.9065555555555556,0.9605000000000001,0.4090909090909091,0.5,0.25,1.0000000000000002,0.0,Very Unhealthy,High,Hot
0.13952185655696706,0.8163265306122449,0.7273318329582396,0.31849777466619994,0.11804721888755504,0.11779022471160899,0.6018018018018019,0.2703333333333333,0.07850000000000001,0.36363636363636365,0.3571428571428571,0.0,0.792520954223082,0.0,Good,Medium,Warm
0.29220766229868955,0.43217286914765907,0.2694673668417104,0.5275791368705306,0.23979591836734693,0.44472227778889106,0.15455455455455458,0.4446666666666667,0.28150000000000003,0.5909090909090909,0.0,0.16666666666666666,0.9031592520954224,0.0,Moderate,High,Extremely Cold
0.3664499349804941,0.7966519941309858,0.1000250062515629,0.9467420113016953,0.19637855142056823,0.7357138094285524,0.16376376376376378,0.8947777777777777,0.49400000000000005,0.36363636363636365,0.3571428571428571,0.0,1.0000000000000002,0.0,Unhealthy for Sensitive Groups,High,Extremely Cold
0.4561768530559167,0.5955715619581167,0.352388097024256,0.39125868880332054,0.5526210484193678,0.9618590384743616,0.5841841841841842,0.5528888888888889,0.1705,0.2727272727272727,0.6428571428571428,0.25,1.0000000000000002,0.0,Unhealthy,High,Moderate
